age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility
53,Male,Single,High School,186783,Government,16,Small,Family,10863,3,1,1394,18046,2264,5914,5093,Yes,24600,747,493345,3497,Vehicle,781397,61,41513.149999999994,Eligible
39,Male,Married,High School,130957,Government,0,Medium,Family,15857,6,0,1705,998,14929,20137,6047,No,13124,435,969612,403102,E-commerce Shopping,670186,57,20356.0,Not_Eligible
32,Female,Single,Professional,32748,Government,13,Large,Rented,19783,4,3,9364,28757,2557,19867,11164,Yes,927,553,724172,383483,Home Appliances,409340,57,500.0,Not_Eligible
45,Female,Married,Post Graduate,103636,Private,3,Medium,Family,25929,1,3,2421,4302,5960,10812,19145,No,11784,628,394869,128051,Vehicle,343074,71,8149.049999999999,High_Risk
43,Female,Single,Graduate,179763,Government,30,Small,Family,22954,4,1,8791,28522,7388,19771,605,No,1845,827,723157,452785,E-commerce Shopping,430969,16,31460.449999999997,Eligible
47,Male,Single,Post Graduate,130158,Government,27,Large,Rented,29680,3,2,14851,7830,9977,29364,1038,Yes,15579,800,447748,79628,Vehicle,818363,76,7643.65,High_Risk
35,Male,Single,Post Graduate,25246,Self-employed,1,Medium,Own,16826,4,4,3504,14898,7734,11736,406,No,28435,563,922060,83392,Personal Loan,1483259,58,500.0,Not_Eligible
35,Female,Single,High School,74395,Self-employed,2,Medium,Own,600,3,1,2299,18908,4906,5906,1071,Yes,27075,672,12587,154736,Vehicle,1016070,63,4770.5,Not_Eligible
48,Male,Single,Graduate,178558,Private,27,Medium,Own,27742,3,1,4015,14054,9057,5965,14204,No,12994,359,278368,316651,E-commerce Shopping,1027637,7,31684.449999999997,Not_Eligible
60,Female,Single,Post Graduate,176412,Private,6,Small,Rented,12134,5,2,1496,6735,14846,5746,13109,Yes,29867,757,601880,317302,Education,1308821,8,32367.649999999998,Eligible
48,Male,Married,Professional,65300,Private,29,Small,Own,27385,4,0,6706,130,13398,10178,14506,Yes,13481,759,942727,255141,Personal Loan,314623,15,500.0,Not_Eligible
27,Female,Married,Professional,149158,Private,22,Small,Rented,15290,2,1,14871,12423,14441,24060,17836,No,8156,486,854349,472614,Home Appliances,521741,42,14728.349999999999,Not_Eligible
46,Female,Married,High School,29860,Government,13,Small,Rented,11580,3,2,11309,11609,4433,20545,18837,Yes,21162,676,792782,419680,Personal Loan,503984,61,500.0,Not_Eligible
26,Female,Married,Professional,32013,Self-employed,11,Medium,Family,20966,4,0,6771,10409,11499,23610,6673,Yes,18311,713,751925,423934,E-commerce Shopping,898575,15,500.0,Not_Eligible
48,Male,Single,Professional,153479,Government,18,Large,Family,16037,2,0,7706,19400,1665,29234,2987,No,17069,343,206294,364841,Vehicle,846161,48,20783.35,Not_Eligible
54,Female,Married,Post Graduate,48542,Government,28,Small,Own,2786,1,1,12894,1186,9752,23845,19173,Yes,22817,778,970189,12667,Education,1055885,25,500.0,Not_Eligible
26,Male,Single,Professional,39935,Government,17,Large,Rented,19079,2,0,8626,4294,4657,19804,11861,No,26590,465,151719,65122,E-commerce Shopping,684666,23,500.0,Not_Eligible
45,Male,Single,Professional,64079,Self-employed,14,Medium,Own,15231,4,1,2658,8135,5148,7519,200,Yes,6723,452,810947,491686,Vehicle,222793,74,6462.75,Not_Eligible
57,Male,Single,Post Graduate,49111,Private,28,Small,Own,11840,4,1,11891,21218,14189,29384,7825,No,24462,451,563207,403817,E-commerce Shopping,644265,36,500.0,Not_Eligible
36,Male,Married,High School,71550,Private,28,Medium,Family,2052,2,3,2323,23599,14952,25258,14420,Yes,26257,396,882950,316232,Education,1493362,55,500.0,Not_Eligible
46,Male,Single,High School,91955,Self-employed,0,Small,Own,631,2,4,2895,24373,14802,5209,2760,No,138,436,858161,19909,Vehicle,226347,33,14401.449999999999,Not_Eligible
49,Male,Married,Graduate,55565,Self-employed,24,Small,Own,3442,6,4,1531,11004,11383,20569,5225,Yes,5338,516,546223,250359,Education,1255354,68,500.0,Not_Eligible
51,Male,Married,Professional,34283,Private,25,Large,Family,1754,3,3,11358,9709,7903,24314,4921,Yes,15762,639,866210,218728,Vehicle,1402368,77,500.0,Not_Eligible
52,Female,Married,Post Graduate,81470,Government,2,Medium,Own,23404,4,1,14022,20582,6299,21203,3713,Yes,8689,508,889327,396022,Personal Loan,1282535,70,500.0,Not_Eligible
40,Female,Married,Graduate,101916,Private,24,Medium,Own,11225,3,2,12954,29219,2542,18720,9130,No,27464,351,768908,4552,E-commerce Shopping,838504,28,500.0,Not_Eligible
