age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility,total_monthly_expenses,debt_to_income_ratio,expense_to_income_ratio,available_income,affordability_ratio
53,Male,Single,High School,186783,Government,16,Small,Family,10863,3,1,1394,18046,2264,5914,5093,Yes,24600,747,493345,3497,Vehicle,781397,61,41513.15,Eligible,68174,0.13170363469908933,0.364990389917712,118609,0.22225336352880082
39,Male,Married,High School,130957,Government,0,Medium,Family,15857,6,0,1705,998,14929,20137,6047,No,13124,435,969612,403102,E-commerce Shopping,670186,57,20356.0,Not_Eligible,72797,0.10021610146842093,0.5558847560649679,58160,0.15544033537726124
32,Female,Single,Professional,32748,Government,13,Large,Rented,19783,4,3,9364,28757,2557,19867,11164,Yes,927,553,724172,383483,Home Appliances,409340,57,500.0,Not_Eligible,92419,0.02830707218761451,2.8221265420789057,-59671,0.015268107976059606
45,Female,Married,Post Graduate,103636,Private,3,Medium,Family,25929,1,3,2421,4302,5960,10812,19145,No,11784,628,394869,128051,Vehicle,343074,71,8149.049999999999,High_Risk,80353,0.11370566212513027,0.7753386853988962,23283,0.07863146011038634
43,Female,Single,Graduate,179763,Government,30,Small,Family,22954,4,1,8791,28522,7388,19771,605,No,1845,827,723157,452785,E-commerce Shopping,430969,16,31460.45,Eligible,89876,0.010263513626274595,0.4999694041599217,89887,0.17501070854402742
47,Male,Single,Post Graduate,130158,Government,27,Large,Rented,29680,3,2,14851,7830,9977,29364,1038,Yes,15579,800,447748,79628,Vehicle,818363,76,7643.65,High_Risk,108319,0.11969298852164292,0.8322116197237204,21839,0.05872593309669786
35,Male,Single,Post Graduate,25246,Self-employed,1,Medium,Own,16826,4,4,3504,14898,7734,11736,406,No,28435,563,922060,83392,Personal Loan,1483259,58,500.0,Not_Eligible,83539,1.1263170403232194,3.308999445456706,-58293,0.019805117642398794
35,Female,Single,High School,74395,Self-employed,2,Medium,Own,600,3,1,2299,18908,4906,5906,1071,Yes,27075,672,12587,154736,Vehicle,1016070,63,4770.5,Not_Eligible,60765,0.36393574837018616,0.8167887626856644,13630,0.06412393306001747
48,Male,Single,Graduate,178558,Private,27,Medium,Own,27742,3,1,4015,14054,9057,5965,14204,No,12994,359,278368,316651,E-commerce Shopping,1027637,7,31684.45,Not_Eligible,88031,0.07277187244480784,0.49301067440271507,90527,0.17744626395904972
60,Female,Single,Post Graduate,176412,Private,6,Small,Rented,12134,5,2,1496,6735,14846,5746,13109,Yes,29867,757,601880,317302,Education,1308821,8,32367.65,Eligible,83933,0.16930254177720336,0.4757782917261864,92479,0.18347759789583476
48,Male,Married,Professional,65300,Private,29,Small,Own,27385,4,0,6706,130,13398,10178,14506,Yes,13481,759,942727,255141,Personal Loan,314623,15,500.0,Not_Eligible,85784,0.20644716692189893,1.3136906584992343,-20484,0.007656967840735069
27,Female,Married,Professional,149158,Private,22,Small,Rented,15290,2,1,14871,12423,14441,24060,17836,No,8156,486,854349,472614,Home Appliances,521741,42,14728.35,Not_Eligible,107077,0.0546802719264136,0.7178763458882528,42081,0.09874327893911154
46,Female,Married,High School,29860,Government,13,Small,Rented,11580,3,2,11309,11609,4433,20545,18837,Yes,21162,676,792782,419680,Personal Loan,503984,61,500.0,Not_Eligible,99475,0.7087073007367716,3.331379772270596,-69615,0.016744809109176157
26,Female,Married,Professional,32013,Self-employed,11,Medium,Family,20966,4,0,6771,10409,11499,23610,6673,Yes,18311,713,751925,423934,E-commerce Shopping,898575,15,500.0,Not_Eligible,98239,0.5719863805329085,3.068722081654328,-66226,0.015618654921438166
48,Male,Single,Professional,153479,Government,18,Large,Family,16037,2,0,7706,19400,1665,29234,2987,No,17069,343,206294,364841,Vehicle,846161,48,20783.35,Not_Eligible,94098,0.11121391200099036,0.6131001635402888,59381,0.13541494276089888
54,Female,Married,Post Graduate,48542,Government,28,Small,Own,2786,1,1,12894,1186,9752,23845,19173,Yes,22817,778,970189,12667,Education,1055885,25,500.0,Not_Eligible,92453,0.4700465576202052,1.9045980800131845,-43911,0.010300358452474146
26,Male,Single,Professional,39935,Government,17,Large,Rented,19079,2,0,8626,4294,4657,19804,11861,No,26590,465,151719,65122,E-commerce Shopping,684666,23,500.0,Not_Eligible,94911,0.6658319769625641,2.376637035182171,-54976,0.0125203455615375
45,Male,Single,Professional,64079,Self-employed,14,Medium,Own,15231,4,1,2658,8135,5148,7519,200,Yes,6723,452,810947,491686,Vehicle,222793,74,6462.75,Not_Eligible,45614,0.1049173676243387,0.7118400724106182,18465,0.10085597465628365
57,Male,Single,Post Graduate,49111,Private,28,Small,Own,11840,4,1,11891,21218,14189,29384,7825,No,24462,451,563207,403817,E-commerce Shopping,644265,36,500.0,Not_Eligible,120809,0.4980961495387999,2.459917330129706,-71698,0.010181018509091649
36,Male,Married,High School,71550,Private,28,Medium,Family,2052,2,3,2323,23599,14952,25258,14420,Yes,26257,396,882950,316232,Education,1493362,55,500.0,Not_Eligible,108861,0.36697414395527606,1.5214675052410902,-37311,0.0069881201956673656
46,Male,Single,High School,91955,Self-employed,0,Small,Own,631,2,4,2895,24373,14802,5209,2760,No,138,436,858161,19909,Vehicle,226347,33,14401.45,Not_Eligible,50808,0.0015007340547006688,0.5525311293567506,41147,0.15661410472513732
49,Male,Married,Graduate,55565,Self-employed,24,Small,Own,3442,6,4,1531,11004,11383,20569,5225,Yes,5338,516,546223,250359,Education,1255354,68,500.0,Not_Eligible,58492,0.09606766849635562,1.0526770449023666,-2927,0.008998470260055791
51,Male,Married,Professional,34283,Private,25,Large,Family,1754,3,3,11358,9709,7903,24314,4921,Yes,15762,639,866210,218728,Vehicle,1402368,77,500.0,Not_Eligible,75721,0.45976139777732405,2.2087040224017733,-41438,0.014584487938628475
52,Female,Married,Post Graduate,81470,Government,2,Medium,Own,23404,4,1,14022,20582,6299,21203,3713,Yes,8689,508,889327,396022,Personal Loan,1282535,70,500.0,Not_Eligible,97912,0.106652755615564,1.201816619614582,-16442,0.006137228427642077
40,Female,Married,Graduate,101916,Private,24,Medium,Own,11225,3,2,12954,29219,2542,18720,9130,No,27464,351,768908,4552,E-commerce Shopping,838504,28,500.0,Not_Eligible,111254,0.2694768240511794,1.0916244750578907,-9338,0.004906001020448213
39,Female,Married,High School,94552,Self-employed,14,Medium,Rented,9770,3,0,781,16389,12042,10396,3116,Yes,1048,497,306500,213850,Home Appliances,989734,16,14353.499999999998,Not_Eligible,53542,0.01108384804128945,0.5662704120483967,41010,0.15180535578306115
27,Male,Single,High School,53233,Private,30,Large,Own,13499,1,3,1425,17094,1717,17556,3617,Yes,8597,747,659843,326953,Home Appliances,342134,27,500.0,Not_Eligible,63505,0.16149756729848028,1.1929630116656962,-10272,0.009392669960362933
31,Male,Single,Post Graduate,37695,Private,3,Large,Family,25,4,3,4928,24587,4139,19291,8955,No,5371,847,348678,250563,E-commerce Shopping,151602,76,500.0,Not_Eligible,67296,0.14248574081443163,1.7852765618782331,-29601,0.01326435866825839
45,Male,Married,Graduate,141440,Private,14,Medium,Family,24330,3,3,2551,2150,3920,20314,19278,No,18134,404,755524,353944,Home Appliances,936936,66,17767.05,Not_Eligible,90677,0.12820984162895926,0.6410986990950226,50763,0.12561545531674206
33,Male,Single,Graduate,188806,Self-employed,9,Medium,Rented,10401,1,3,11678,23226,1654,20737,4619,Yes,10685,659,715607,124687,Education,406924,71,37032.1,High_Risk,83000,0.05659248117114922,0.43960467358028876,105806,0.19613836424689893
42,Female,Married,Post Graduate,96257,Self-employed,5,Small,Family,7297,6,4,10515,14144,10323,3656,5188,No,27300,823,155835,379064,Home Appliances,449464,70,6241.9,High_Risk,78423,0.28361573703730636,0.8147251628452996,17834,0.06484619300414515
28,Male,Single,Post Graduate,16505,Private,12,Small,Family,14868,3,1,12613,26289,7328,25813,4966,Yes,7049,777,790482,319905,E-commerce Shopping,526582,22,500.0,Not_Eligible,98926,0.42708270221145106,5.993698879127537,-82421,0.030293850348379277
49,Female,Single,Graduate,151435,Private,6,Large,Family,6553,3,3,7423,20906,10967,20589,9461,No,18000,513,981614,238282,Personal Loan,294012,45,20137.6,Not_Eligible,93899,0.11886287846270677,0.6200614124872057,57536,0.132978505629478
38,Male,Single,High School,194780,Government,25,Small,Own,5759,6,3,556,12458,12414,22251,16342,No,27443,648,659680,297736,E-commerce Shopping,532592,7,34144.95,High_Risk,97223,0.14089228873600987,0.49914262244583635,97557,0.17530008214395726
33,Female,Single,Professional,58614,Government,29,Medium,Rented,7755,4,3,8704,5808,8890,11647,11032,No,9292,771,420103,343714,E-commerce Shopping,1414489,34,500.0,Not_Eligible,63128,0.15852867915515065,1.0770123178762754,-4514,0.008530385232197086
50,Male,Single,High School,16010,Private,21,Medium,Rented,13384,2,2,11410,28760,7733,8014,15154,Yes,27971,366,955524,422682,Vehicle,414864,47,500.0,Not_Eligible,112426,1.7470955652717053,7.022236102435977,-96416,0.03123048094940662
26,Female,Single,Post Graduate,145560,Self-employed,0,Small,Rented,29928,6,2,6438,27994,14786,23754,8865,Yes,16863,468,462537,262054,Home Appliances,1003273,45,5926.2,Not_Eligible,128628,0.11584913437757625,0.883676834295136,16932,0.04071310799670239
44,Male,Single,Graduate,165933,Government,21,Small,Rented,27478,2,0,6518,21334,4811,29660,4604,Yes,28955,451,304995,439212,Home Appliances,394045,73,14900.55,Not_Eligible,123360,0.17449814081587148,0.7434325902623348,42573,0.08979859340818282
52,Female,Single,Graduate,170197,Private,10,Large,Family,1129,4,1,5786,19666,2749,5490,9133,Yes,23709,773,306702,254074,Vehicle,300661,24,35887.25,Eligible,67662,0.1393032779661216,0.3975510731681522,102535,0.21085712439114673
31,Male,Single,Professional,155441,Government,13,Small,Own,4996,2,3,4151,7892,12402,3874,17326,No,1709,496,380717,347372,Education,1202213,43,36081.85,Not_Eligible,52350,0.010994525253954876,0.3367837314479449,103091,0.23212569399321928
32,Female,Single,Graduate,84393,Government,5,Large,Family,12296,5,0,13199,5553,6817,14299,4471,Yes,27815,312,357434,257467,Education,1078319,60,500.0,Not_Eligible,84450,0.32958894695057644,1.0006754114677758,-57,0.0059246619980330125
59,Female,Single,Professional,172743,Government,4,Small,Family,20529,2,0,6093,19988,7111,7163,3743,Yes,23700,461,559366,350194,Vehicle,117222,61,29545.6,Not_Eligible,88327,0.1371980340737396,0.5113202850477299,84416,0.17103790023329454
38,Male,Single,High School,79512,Self-employed,18,Small,Family,5641,6,1,13830,27223,11919,29009,6283,Yes,5262,785,199161,121435,Home Appliances,287149,30,500.0,Not_Eligible,99167,0.06617869000905524,1.2471953918905323,-19655,0.006288358989838012
41,Female,Single,High School,113026,Private,25,Small,Family,25017,3,2,12307,28172,11728,15647,3836,No,14978,631,308360,140714,Education,69478,57,500.0,Not_Eligible,111685,0.1325181816573178,0.9881354732539416,1341,0.00442376090457063
60,Male,Married,Graduate,90656,Self-employed,18,Small,Rented,22281,3,1,11733,7154,2081,6192,2428,No,5456,347,674137,286780,Education,138810,53,11665.85,Not_Eligible,57325,0.06018355100600071,0.6323354218143311,33331,0.12868260236498413
28,Male,Single,Graduate,112686,Self-employed,26,Medium,Rented,13901,1,0,2899,7139,7774,23122,14738,Yes,28110,367,345724,300740,Personal Loan,218889,38,5251.049999999999,Not_Eligible,97683,0.24945423566370267,0.8668601245940046,15003,0.04659895639209839
26,Male,Single,Post Graduate,190210,Government,25,Medium,Own,14371,6,1,6734,15479,13375,8043,11566,No,28768,533,278072,101263,Education,958846,70,32155.9,Not_Eligible,98336,0.15124336259923243,0.5169864886178435,91874,0.16905472898375482
30,Female,Single,Post Graduate,199492,Private,12,Medium,Family,7369,4,2,5016,20366,14433,27107,9381,No,16836,540,506191,397403,Home Appliances,134939,45,34644.399999999994,Not_Eligible,100508,0.0843943616786638,0.5038197020431897,98984,0.17366310428488357
